id,bbox,sick
Train_922.jpg,"[0, 0, 64, 43]",1
Train_1585.jpg,"[64, 0, 64, 43]",0
Train_398.jpg,"[128, 0, 64, 43]",1
Train_399.jpg,"[192, 0, 64, 43]",1
Train_762.jpg,"[256, 0, 64, 43]",1
Train_743.jpg,"[320, 0, 64, 43]",1
Train_1470.jpg,"[384, 0, 64, 43]",1
Train_1369.jpg,"[512, 0, 64, 43]",1
Train_1555.jpg,"[576, 0, 64, 43]",0
Train_1310.jpg,"[640, 0, 64, 43]",1
Train_1554.jpg,"[704, 0, 64, 43]",1
Train_1546.jpg,"[832, 0, 64, 43]",0
Train_976.jpg,"[1024, 0, 64, 43]",1
Train_1708.jpg,"[1088, 0, 64, 43]",1
Train_391.jpg,"[1152, 0, 64, 43]",1
Train_936.jpg,"[1216, 0, 64, 43]",1
Train_571.jpg,"[1280, 0, 64, 43]",1
Train_747.jpg,"[1344, 0, 64, 43]",0
Train_376.jpg,"[1408, 0, 64, 43]",0
Train_248.jpg,"[1472, 0, 64, 43]",0
Train_1753.jpg,"[1536, 0, 64, 43]",1
Train_1025.jpg,"[1600, 0, 64, 43]",1
Train_103.jpg,"[1664, 0, 64, 43]",0
Train_1451.jpg,"[1728, 0, 64, 43]",1
Train_1796.jpg,"[1792, 0, 64, 43]",1
Train_754.jpg,"[64, 43, 64, 43]",1
Train_1284.jpg,"[192, 43, 64, 43]",1
Train_74.jpg,"[256, 43, 64, 43]",1
Train_1634.jpg,"[320, 43, 64, 43]",0
Train_1.jpg,"[384, 43, 64, 43]",1
Train_480.jpg,"[448, 43, 64, 43]",1
Train_6.jpg,"[512, 43, 64, 43]",1
Train_1558.jpg,"[576, 43, 64, 43]",1
Train_945.jpg,"[640, 43, 64, 43]",1
Train_671.jpg,"[704, 43, 64, 43]",0
Train_1713.jpg,"[768, 43, 64, 43]",1
Train_267.jpg,"[896, 43, 64, 43]",1
Train_1110.jpg,"[1088, 43, 64, 43]",0
Train_489.jpg,"[1152, 43, 64, 43]",1
Train_657.jpg,"[1216, 43, 64, 43]",0
Train_1467.jpg,"[1280, 43, 64, 43]",1
Train_958.jpg,"[1344, 43, 64, 43]",0
Train_1084.jpg,"[1408, 43, 64, 43]",1
Train_1292.jpg,"[1472, 43, 64, 43]",1
Train_1691.jpg,"[1536, 43, 64, 43]",0
Train_1576.jpg,"[1600, 43, 64, 43]",1
Train_895.jpg,"[1664, 43, 64, 43]",0
Train_856.jpg,"[1728, 43, 64, 43]",1
Train_1216.jpg,"[1792, 43, 64, 43]",1
Train_905.jpg,"[0, 86, 64, 43]",1
Train_1227.jpg,"[192, 86, 64, 43]",0
Train_1286.jpg,"[256, 86, 64, 43]",0
Train_1102.jpg,"[384, 86, 64, 43]",1
Train_1390.jpg,"[448, 86, 64, 43]",1
Train_66.jpg,"[512, 86, 64, 43]",0
Train_1271.jpg,"[640, 86, 64, 43]",0
Train_379.jpg,"[704, 86, 64, 43]",1
Train_1078.jpg,"[768, 86, 64, 43]",1
Train_1234.jpg,"[832, 86, 64, 43]",1
Train_436.jpg,"[960, 86, 64, 43]",1
Train_517.jpg,"[1024, 86, 64, 43]",1
Train_174.jpg,"[1152, 86, 64, 43]",0
Train_1780.jpg,"[1408, 86, 64, 43]",1
Train_886.jpg,"[1472, 86, 64, 43]",1
Train_1062.jpg,"[1536, 86, 64, 43]",1
Train_1247.jpg,"[1600, 86, 64, 43]",0
Train_472.jpg,"[1664, 86, 64, 43]",1
Train_1494.jpg,"[0, 129, 64, 43]",1
Train_1515.jpg,"[64, 129, 64, 43]",1
Train_1609.jpg,"[128, 129, 64, 43]",1
Train_36.jpg,"[320, 129, 64, 43]",1
Train_1202.jpg,"[384, 129, 64, 43]",1
Train_395.jpg,"[448, 129, 64, 43]",1
Train_1538.jpg,"[512, 129, 64, 43]",0
Train_809.jpg,"[576, 129, 64, 43]",0
Train_1170.jpg,"[640, 129, 64, 43]",1
Train_1050.jpg,"[704, 129, 64, 43]",1
Train_1142.jpg,"[768, 129, 64, 43]",1
Train_363.jpg,"[832, 129, 64, 43]",1
Train_1173.jpg,"[960, 129, 64, 43]",1
Train_1562.jpg,"[1024, 129, 64, 43]",0
Train_548.jpg,"[1088, 129, 64, 43]",1
Train_161.jpg,"[1216, 129, 64, 43]",1
Train_1573.jpg,"[1280, 129, 64, 43]",1
Train_531.jpg,"[1344, 129, 64, 43]",0
Train_733.jpg,"[1408, 129, 64, 43]",1
Train_1365.jpg,"[1600, 129, 64, 43]",1
Train_1331.jpg,"[1664, 129, 64, 43]",1
Train_1185.jpg,"[1728, 129, 64, 43]",1
Train_831.jpg,"[1792, 129, 64, 43]",1
Train_716.jpg,"[0, 172, 64, 43]",1
Train_1779.jpg,"[64, 172, 64, 43]",1
Train_1675.jpg,"[128, 172, 64, 43]",0
Train_1526.jpg,"[256, 172, 64, 43]",1
Train_1138.jpg,"[320, 172, 64, 43]",1
Train_1372.jpg,"[384, 172, 64, 43]",0
Train_444.jpg,"[448, 172, 64, 43]",0
Train_1514.jpg,"[576, 172, 64, 43]",1
Train_1454.jpg,"[640, 172, 64, 43]",1
Train_1741.jpg,"[704, 172, 64, 43]",0
Train_1291.jpg,"[768, 172, 64, 43]",1
Train_47.jpg,"[832, 172, 64, 43]",1
Train_1618.jpg,"[896, 172, 64, 43]",1
Train_392.jpg,"[960, 172, 64, 43]",0
Train_637.jpg,"[1088, 172, 64, 43]",0
Train_1391.jpg,"[1152, 172, 64, 43]",0
Train_543.jpg,"[1216, 172, 64, 43]",1
Train_418.jpg,"[1344, 172, 64, 43]",1
Train_1413.jpg,"[1408, 172, 64, 43]",1
Train_857.jpg,"[1472, 172, 64, 43]",1
Train_245.jpg,"[1536, 172, 28, 43]",1
Train_972.jpg,"[1600, 172, 64, 43]",1
Train_1246.jpg,"[1664, 172, 64, 43]",1
Train_132.jpg,"[1728, 172, 64, 43]",1
Train_1280.jpg,"[1792, 172, 64, 43]",1
Train_1468.jpg,"[0, 215, 64, 43]",1
Train_306.jpg,"[64, 215, 64, 43]",1
Train_536.jpg,"[192, 215, 64, 43]",1
Train_128.jpg,"[256, 215, 64, 43]",1
Train_1817.jpg,"[320, 215, 64, 43]",0
Train_920.jpg,"[384, 215, 64, 43]",1
Train_1580.jpg,"[448, 215, 64, 43]",1
Train_169.jpg,"[512, 215, 64, 43]",1
Train_1028.jpg,"[640, 215, 64, 43]",1
Train_195.jpg,"[704, 215, 64, 43]",0
Train_1556.jpg,"[832, 215, 64, 43]",0
Train_1586.jpg,"[960, 215, 64, 43]",1
Train_720.jpg,"[1024, 215, 64, 43]",0
Train_1013.jpg,"[1088, 215, 64, 43]",1
Train_1588.jpg,"[1152, 215, 64, 43]",1
Train_319.jpg,"[1216, 215, 64, 43]",1
Train_1119.jpg,"[1280, 215, 64, 43]",1
Train_85.jpg,"[1344, 215, 64, 43]",1
Train_1075.jpg,"[1408, 215, 64, 43]",1
Train_819.jpg,"[1472, 215, 64, 43]",1
Train_1129.jpg,"[1536, 215, 64, 43]",1
Train_1501.jpg,"[1664, 215, 64, 43]",1
Train_117.jpg,"[1728, 215, 64, 43]",1
Train_1041.jpg,"[1792, 215, 64, 43]",1
Train_1677.jpg,"[0, 258, 64, 43]",1
Train_87.jpg,"[64, 258, 64, 43]",1
Train_865.jpg,"[128, 258, 64, 43]",1
Train_993.jpg,"[192, 258, 64, 43]",1
Train_402.jpg,"[256, 258, 64, 43]",1
Train_428.jpg,"[320, 258, 64, 43]",1
Train_223.jpg,"[384, 258, 64, 43]",1
Train_1645.jpg,"[448, 258, 64, 43]",1
Train_423.jpg,"[512, 258, 64, 43]",1
Train_1336.jpg,"[640, 258, 64, 43]",1
Train_893.jpg,"[704, 258, 64, 43]",0
Train_1497.jpg,"[832, 258, 64, 43]",0
Train_794.jpg,"[896, 258, 64, 43]",0
Train_1036.jpg,"[960, 258, 64, 43]",1
Train_1132.jpg,"[1088, 258, 64, 43]",1
Train_1561.jpg,"[1152, 258, 64, 43]",1
Train_231.jpg,"[1216, 258, 64, 43]",1
Train_1044.jpg,"[1280, 258, 64, 43]",0
Train_1164.jpg,"[1408, 258, 64, 43]",0
Train_443.jpg,"[1472, 258, 64, 43]",0
Train_1537.jpg,"[1536, 258, 64, 43]",1
Train_761.jpg,"[1600, 258, 64, 43]",0
Train_758.jpg,"[1664, 258, 64, 43]",1
Train_269.jpg,"[1728, 258, 64, 43]",1
Train_766.jpg,"[1792, 258, 64, 43]",1
Train_1060.jpg,"[0, 301, 64, 43]",1
Train_170.jpg,"[64, 301, 64, 43]",1
Train_616.jpg,"[192, 301, 64, 43]",0
Train_1630.jpg,"[256, 301, 64, 43]",1
Train_499.jpg,"[384, 301, 64, 43]",1
Train_624.jpg,"[512, 301, 64, 43]",1
Train_1784.jpg,"[640, 301, 64, 43]",1
Train_1392.jpg,"[704, 301, 64, 43]",0
Train_1521.jpg,"[960, 301, 64, 43]",1
Train_484.jpg,"[1024, 301, 64, 43]",1
Train_1527.jpg,"[1088, 301, 64, 43]",1
Train_1303.jpg,"[1152, 301, 64, 43]",1
Train_162.jpg,"[1216, 301, 64, 43]",0
Train_1046.jpg,"[1280, 301, 64, 43]",1
Train_311.jpg,"[1408, 301, 64, 43]",0
Train_1206.jpg,"[1600, 301, 64, 43]",1
Train_1624.jpg,"[1664, 301, 64, 43]",1
Train_54.jpg,"[1728, 301, 64, 43]",0
Train_95.jpg,"[1792, 301, 64, 43]",1
Train_1313.jpg,"[0, 344, 64, 43]",0
Train_1080.jpg,"[64, 344, 64, 43]",0
Train_1304.jpg,"[128, 344, 64, 43]",0
Train_25.jpg,"[192, 344, 64, 43]",1
Train_961.jpg,"[256, 344, 64, 43]",0
Train_62.jpg,"[384, 344, 64, 43]",1
Train_354.jpg,"[448, 344, 64, 43]",1
Train_1577.jpg,"[640, 344, 64, 43]",1
Train_618.jpg,"[704, 344, 64, 43]",0
Train_114.jpg,"[768, 344, 64, 43]",1
Train_629.jpg,"[832, 344, 64, 43]",1
Train_469.jpg,"[896, 344, 64, 43]",1
Train_1344.jpg,"[960, 344, 64, 43]",1
Train_396.jpg,"[1024, 344, 64, 43]",0
Train_65.jpg,"[1088, 344, 64, 43]",1
Train_682.jpg,"[1152, 344, 64, 43]",1
Train_1471.jpg,"[1216, 344, 64, 43]",1
Train_144.jpg,"[1280, 344, 64, 43]",0
Train_602.jpg,"[1344, 344, 64, 43]",1
Train_1035.jpg,"[1408, 344, 64, 43]",1
Train_503.jpg,"[1472, 344, 64, 43]",1
Train_1101.jpg,"[1536, 344, 64, 43]",0
Train_1194.jpg,"[1600, 344, 64, 43]",1
Train_274.jpg,"[1664, 344, 64, 43]",1
Train_265.jpg,"[1728, 344, 64, 43]",0
Train_493.jpg,"[1792, 344, 64, 43]",1
Train_190.jpg,"[0, 387, 64, 43]",1
Train_786.jpg,"[128, 387, 64, 43]",0
Train_735.jpg,"[320, 387, 64, 43]",1
Train_1582.jpg,"[384, 387, 64, 43]",1
Train_974.jpg,"[448, 387, 64, 43]",1
